package	suite	version
motd-news-config	resolute-updates,now	14ubuntu6.1
mount	resolute,now	2.41.3-3ubuntu2
nano	resolute-updates,resolute-security,now	8.7.1-1ubuntu0.1
ncurses-base	resolute,now	6.6+20251231-1
ncurses-bin	resolute,now	6.6+20251231-1
ncurses-term	resolute,now	6.6+20251231-1
net-tools	resolute,now	2.10-2ubuntu1
netbase	resolute,now	6.5build1
netcat-openbsd	resolute,now	1.234-1
netplan-generator	resolute,now	1.2-1ubuntu5
netplan.io	resolute,now	1.2-1ubuntu5
networkd-dispatcher	resolute,now	2.2.4-1.1ubuntu1
node-abbrev	resolute,now	1.1.1+~1.1.2-1
node-acorn	resolute,now	8.16.0+ds+~cs25.18.7-4
node-agent-base	resolute,now	7.1.4~0~2025070717+~cs15.2.7-1build1
node-ajv-keywords	resolute,now	5.1.0-4
node-ajv	resolute,now	8.17.1~ds+~3.0.1+~3.1.0-4build1
node-ampproject-remapping	resolute,now	2.2.0+~cs5.15.37-1
node-ansi-escapes	resolute,now	5.0.0+really.4.3.1-1
node-ansi-regex	resolute,now	6.2.2+~cs4.0.2-1build3
node-ansi-styles	resolute,now	6.2.3-1
node-anymatch	resolute,now	3.1.3+~cs8.0.6-1
node-aproba	resolute,now	2.1.0-1
node-archy	resolute,now	1.0.0-7
node-are-we-there-yet	resolute,now	4.0.2+~1.1.2-1
node-argparse	resolute,now	2.0.1-3
node-arrify	resolute,now	2.0.1-3
node-assert	resolute,now	2.0.0+~cs3.9.8-2
node-async-each	resolute,now	1.0.3-3
